name,genre,rating,country,company,isMajor,released,year,runtime,isLong,isShort,score,votes,star,director,budget,gross,budgetReturn
La vida según Attenberg,Drama,NOT RATED,Greece,Haos Film,0,9/30/11,2010,97,0,0,6.2,4798,Ariane Labed,Athina Rachel Tsangari,0,23787,inf
A Little Help,Comedy,R,USA,Secret Handshake Entertainment,0,7/22/11,2010,100,0,0,5.7,2787,Jenna Fischer,Michael J. Weithorn,0,85789,inf
Even the Rain,Drama,UNRATED,Spain,AXN,0,1/5/11,2010,103,0,0,7.5,10681,Gael García Bernal,Icíar Bollaín,0,558342,inf
Red Hill,Thriller,R,Australia,Hughes House Film,0,11/5/10,2010,95,0,0,6.4,7518,Ryan Kwanten,Patrick Hughes,0,20960,inf
The Housemaid,Drama,NOT RATED,South Korea,Sidus FNH-Benex Cinema Fund 1,0,1/26/11,2010,106,0,0,6.5,7482,Do-yeon Jeon,Sang-soo Im,0,149757,inf
Dylan Dog: Dead of Night,Action,PG-13,USA,Hyde Park Films,0,4/29/11,2010,100,0,0,5.1,13559,Brandon Routh,Kevin Munroe,20000000,1183354,0.0591677
Certified Copy,Drama,NOT RATED,France,MK2 Productions,0,3/25/11,2010,106,0,0,7.3,16271,Juliette Binoche,Abbas Kiarostami,0,1337384,inf
Casino Jack,Biography,R,Canada,An Olive Branch Productions,0,1/7/11,2010,108,0,0,6.2,15443,Kevin Spacey,George Hickenlooper,15000000,1039869,0.0693246
Kites: Más allá de las fronteras,Action,NOT RATED,India,Bollywood Hollywood Production,0,5/21/10,2010,123,1,0,6.1,10542,Kangana Ranaut,Anurag Basu,0,1602466,inf
La llave de Sarah,Drama,PG-13,France,Hugo Productions,0,7/22/11,2010,102,0,0,7.5,13938,Kristin Scott Thomas,Gilles Paquet-Brenner,0,7691700,inf
Henry's Crime,Comedy,R,USA,Company Films,0,1/14/11,2010,108,0,0,6,16513,Keanu Reeves,Malcolm Venville,12000000,101882,0.008490167
Welcome to the Rileys,Drama,R,UK,Samuel Goldwyn Films,0,11/18/11,2010,100,0,0,7,21126,James Gandolfini,Jake Scott,0,152857,inf
Frankie & Alice,Biography,R,Canada,Access Motion Pictures,0,8/12/14,2010,100,0,0,6.5,4201,Halle Berry,Geoffrey Sax,0,693181,inf
Norwegian Wood,Drama,NOT RATED,Japan,Asmik Ace Entertainment,0,12/11/10,2010,133,1,0,6.4,9497,Ken'ichi Matsuyama,Tran Anh Hung,0,13068,inf
Cats & Dogs: The Revenge of Kitty Galore,Action,PG,USA,CD2 Films,0,7/30/10,2010,100,0,0,4.3,11161,Bette Midler,Brad Peyton,85000000,43585753,0.512773565
Furry Vengeance,Comedy,PG,USA,Summit Entertainment,0,4/30/10,2010,100,0,0,3.8,13245,Brendan Fraser,Roger Kumble,35000000,17596256,0.502750171
Uncle Boonmee Who Can Recall His Past Lives,Comedy,NOT RATED,Thailand,Kick the Machine,0,3/4/11,2010,114,0,0,6.6,10329,Thanapat Saisaymar,Apichatpong Weerasethakul,0,183605,inf
Guzaarish,Comedy,Not specified,India,Prime Focus,0,11/19/10,2010,126,1,0,7.5,13312,Hrithik Roshan,Sanjay Leela Bhansali,0,1017335,inf
Another Year,Comedy,PG-13,UK,Thin Man Films,0,2/4/11,2010,129,1,0,7.3,24862,Jim Broadbent,Mike Leigh,0,3205706,inf
Vanishing on 7th Street,Horror,R,USA,Herrick Entertainment,0,2/5/11,2010,92,0,0,4.9,22864,Hayden Christensen,Brad Anderson,10000000,22197,0.0022197
Tiny Furniture,Comedy,NOT RATED,USA,Tiny Ponies,0,3/30/12,2010,98,0,0,6.2,12702,Lena Dunham,Lena Dunham,65000,389804,5.996984615
Alpha and Omega,Animation,PG,USA,Lions Gate Family Entertainment,0,9/17/10,2010,90,0,0,5.3,11636,Hayden Panettiere,Anthony Bell,20000000,25077977,1.25389885
Harry Potter and the Deathly Hallows: Part 2,Adventure,PG-13,USA,Warner Bros.,1,7/15/11,2011,130,1,0,8.1,608969,Daniel Radcliffe,David Yates,125000000,381011219,3.048089752
Cowboys & Aliens,Action,PG-13,USA,Universal Pictures,1,7/29/11,2011,119,0,0,6,182868,Daniel Craig,Jon Favreau,163000000,100240551,0.614972706
Pirates of the Caribbean: On Stranger Tides,Action,PG-13,USA,Walt Disney Pictures,1,5/20/11,2011,100,0,0,6.6,408968,Johnny Depp,Rob Marshall,250000000,241071802,0.964287208
Drive,Crime,R,USA,FilmDistrict,0,9/16/11,2011,100,0,0,7.8,472901,Ryan Gosling,Nicolas Winding Refn,15000000,35060689,2.337379267
The Help,Drama,PG-13,USA,DreamWorks,0,8/10/11,2011,146,1,0,8.1,351321,Emma Stone,Tate Taylor,25000000,169708112,6.78832448
"Crazy, Stupid, Love.",Comedy,PG-13,USA,Carousel Productions (II),0,7/29/11,2011,100,0,0,7.4,404694,Steve Carell,Glenn Ficarra,50000000,84351197,1.68702394
The Girl with the Dragon Tattoo,Crime,R,USA,Columbia Pictures,0,12/21/11,2011,158,1,0,7.8,356094,Daniel Craig,David Fincher,90000000,102515793,1.139064367
El espía que sabía demasiado,Drama,R,France,StudioCanal,0,1/6/12,2011,122,1,0,7.1,160451,Gary Oldman,Tomas Alfredson,0,24149393,inf
Bridesmaids,Comedy,R,USA,Universal Pictures,1,5/13/11,2011,125,1,0,6.8,232190,Kristen Wiig,Paul Feig,32500000,169106725,5.203283846
Sucker Punch,Action,PG-13,USA,Warner Bros.,1,3/25/11,2011,110,0,0,6.1,207858,Emily Browning,Zack Snyder,82000000,36392502,0.443811
Thor,Action,PG-13,USA,Paramount Pictures,1,5/6/11,2011,115,0,0,7,585830,Chris Hemsworth,Kenneth Branagh,150000000,181030624,1.206870827
The Intouchables,Biography,R,France,Quad Productions,0,8/24/12,2011,112,0,0,8.6,579143,François Cluzet,Olivier Nakache,0,13182281,inf
Captain America: The First Avenger,Action,PG-13,USA,Paramount Pictures,1,7/22/11,2011,124,1,0,6.9,563504,Chris Evans,Joe Johnston,140000000,176654505,1.261817893
Warrior,Drama,PG-13,USA,Lionsgate,0,9/9/11,2011,140,1,0,8.2,365224,Tom Hardy,Gavin O'Connor,25000000,13657115,0.5462846
X-Men: First Class,Action,PG-13,USA,Twentieth Century Fox Film Corporation,1,6/3/11,2011,132,1,0,7.8,561501,James McAvoy,Matthew Vaughn,160000000,146408305,0.915051906
Green Lantern,Action,PG-13,USA,Warner Bros.,1,6/17/11,2011,114,0,0,5.6,235591,Ryan Reynolds,Martin Campbell,200000000,116601172,0.58300586
Limitless,Mystery,PG-13,USA,Relativity Media,0,3/18/11,2011,105,0,0,7.4,454361,Bradley Cooper,Neil Burger,27000000,79249455,2.935165
Immortals,Action,R,USA,Relativity Media,0,11/11/11,2011,110,0,0,6,144952,Henry Cavill,Tarsem Singh,75000000,83504017,1.113386893
Super 8,Mystery,PG-13,USA,Paramount Pictures,1,6/10/11,2011,112,0,0,7,303656,Elle Fanning,J.J. Abrams,50000000,127004179,2.54008358
Rise of the Planet of the Apes,Action,PG-13,USA,Twentieth Century Fox Film Corporation,1,8/5/11,2011,105,0,0,7.6,439105,James Franco,Rupert Wyatt,93000000,176760185,1.900647151
Priest,Action,PG-13,USA,Screen Gems,0,5/13/11,2011,87,0,0,5.7,102144,Paul Bettany,Scott Stewart,60000000,29136626,0.485610433
Transformers: Dark of the Moon,Action,PG-13,USA,Paramount Pictures,1,6/29/11,2011,154,1,0,6.3,345669,Shia LaBeouf,Michael Bay,195000000,352390543,1.80713099
In Time,Action,PG-13,USA,Regency Enterprises,0,10/28/11,2011,109,0,0,6.7,324606,Justin Timberlake,Andrew Niccol,40000000,37520095,0.938002375
We Bought a Zoo,Comedy,PG,USA,Twentieth Century Fox Film Corporation,1,12/23/11,2011,124,1,0,7.1,118916,Matt Damon,Cameron Crowe,50000000,75624550,1.512491
Midnight in Paris,Comedy,PG-13,Spain,Mediapro,0,6/10/11,2011,100,0,0,7.7,327869,Owen Wilson,Woody Allen,17000000,56816662,3.342156588
Source Code,Mystery,PG-13,USA,Summit Entertainment,0,4/1/11,2011,93,0,0,7.5,414859,Jake Gyllenhaal,Duncan Jones,32000000,54712227,1.709757094
Mission: Impossible - Ghost Protocol,Action,PG-13,USA,Paramount Pictures,1,12/21/11,2011,132,1,0,7.4,388730,Tom Cruise,Brad Bird,145000000,209397903,1.444123469
Just Go with It,Comedy,PG-13,USA,Columbia Pictures,0,2/11/11,2011,117,0,0,6.4,185840,Adam Sandler,Dennis Dugan,80000000,103028109,1.287851363
The Lincoln Lawyer,Crime,R,USA,Lionsgate,0,3/18/11,2011,118,0,0,7.3,184728,Matthew McConaughey,Brad Furman,40000000,58009200,1.45023
Horrible Bosses,Comedy,R,USA,New Line Cinema,0,7/8/11,2011,106,0,0,6.9,375032,Jason Bateman,Seth Gordon,35000000,117538559,3.358244543
I Am Number Four,Action,PG-13,USA,DreamWorks,0,2/18/11,2011,109,0,0,6.1,205616,Alex Pettyfer,D.J. Caruso,60000000,55100437,0.918340617
Shame,Drama,NC-17,UK,See-Saw Films,0,3/16/12,2011,101,0,0,7.2,158515,Michael Fassbender,Steve McQueen,6500000,4000304,0.615431385
Scream 4,Horror,R,USA,Dimension Films,0,4/15/11,2011,111,0,0,6.2,110371,Neve Campbell,Wes Craven,40000000,38180928,0.9545232
Friends with Benefits,Comedy,R,USA,Screen Gems,0,7/22/11,2011,109,0,0,6.6,292555,Mila Kunis,Will Gluck,35000000,55802754,1.5943644
Bad Teacher,Comedy,R,USA,Columbia Pictures,0,6/24/11,2011,92,0,0,5.7,169725,Cameron Diaz,Jake Kasdan,20000000,100292856,5.0146428
